,bpi,disclaimer,time
2013-09-22,122.651,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-09-23,122.2235,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-09-24,122.5383,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-09-25,123.423,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-09-26,123.4763,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-09-27,123.4983,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-09-28,124.7483,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-09-29,125.1807,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-09-30,123.0983,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-10-01,125.4938,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-10-02,99.8135,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-10-03,116.8168,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-10-04,121.2945,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-10-05,121.1398,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-10-06,121.6828,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-10-07,123.245,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-10-08,124.3182,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-10-09,125.8423,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-10-10,125.6982,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-10-11,125.5117,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-10-12,126.5232,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-10-13,130.4155,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-10-14,133.0355,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-10-15,138.6417,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-10-16,137.4188,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-10-17,142.735,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-10-18,149.5947,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-10-19,159.8115,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-10-20,163.0632,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-10-21,174.1772,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-10-22,183.8648,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-10-23,200.62,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-10-24,183.1482,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-10-25,178.1217,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-10-26,175.9008,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-10-27,185.6888,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-10-28,187.8683,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-10-29,198.1932,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-10-30,194.5493,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-10-31,198.2263,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-11-01,198.5098,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-11-02,200.8473,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-11-03,207.6335,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-11-04,225.196,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-11-05,239.29,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-11-06,253.6933,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-11-07,283.3023,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-11-08,323.767,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-11-09,336.1358,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-11-10,311.9005,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-11-11,332.6263,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-11-12,349.3425,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-11-13,393.2795,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-11-14,410.723,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-11-15,409.1675,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-11-16,428.8238,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-11-17,476.295,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-11-18,674.3768,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-11-19,541.8257,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-11-20,572.6675,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-11-21,695.8668,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-11-22,747.4818,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-11-23,776.6998,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-11-24,751.377,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-11-25,778.6753,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-11-26,899.2,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-11-27,948.4088,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-11-28,1037.755,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-11-29,1120.3971,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-11-30,1124.7631,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-12-01,946.9237,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-12-02,1038.3485,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-12-03,1068.6675,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-12-04,1147.2457,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-12-05,1042.0267,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-12-06,834.0262,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-12-07,694.4709,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-12-08,795.3968,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-12-09,898.0222,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-12-10,989.9975,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-12-11,883.2617,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-12-12,875.7474,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-12-13,898.2112,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-12-14,867.495,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-12-15,879.4692,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-12-16,712.508,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-12-17,683.8408,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-12-18,522.2288,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-12-19,698.4503,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-12-20,622.8418,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-12-21,608.9638,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-12-22,617.8158,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-12-23,673.1677,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-12-24,667.6203,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-12-25,687.3557,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-12-26,765.2067,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-12-27,746.7232,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-12-28,730.4715,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-12-29,745.0712,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-12-30,754.7645,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2013-12-31,757.4953,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-01-01,770.4357,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-01-02,808.0485,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-01-03,830.024,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-01-04,858.9833,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-01-05,940.0972,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-01-06,951.3865,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-01-07,810.5833,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-01-08,859.9485,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-01-09,860.895,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-01-10,884.6667,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-01-11,930.905,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-01-12,873.2635,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-01-13,857.9564,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-01-14,851.828,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-01-15,874.713,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-01-16,847.3735,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-01-17,828.222,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-01-18,843.7583,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-01-19,878.6807,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-01-20,871.0483,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-01-21,874.2885,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-01-22,863.95,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-01-23,854.3475,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-01-24,825.1221,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-01-25,861.8516,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-01-26,880.1523,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-01-27,814.5302,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-01-28,833.9395,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-01-29,837.5148,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-01-30,845.8467,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-01-31,848.2875,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-02-01,853.0164,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-02-02,854.375,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-02-03,846.9048,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-02-04,842.0123,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-02-05,820.867,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-02-06,783.6211,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-02-07,703.567,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-02-08,676.9094,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-02-09,681.9371,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-02-10,679.7338,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-02-11,669.4418,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-02-12,648.3835,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-02-13,598.4075,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-02-14,656.6068,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-02-15,645.43,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-02-16,610.6525,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-02-17,621.494,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-02-18,621.2235,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-02-19,617.71,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-02-20,552.2138,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-02-21,569.0425,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-02-22,604.7473,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-02-23,604.5823,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-02-24,545.3225,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-02-25,534.7108,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-02-26,577.0858,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-02-27,576.698,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-02-28,543.9265,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-03-01,563.7358,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-03-02,560.3045,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-03-03,661.1225,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-03-04,663.598,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-03-05,661.7858,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-03-06,658.7245,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-03-07,625.8278,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-03-08,615.24,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-03-09,633.1825,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-03-10,625.8285,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-03-11,628.9543,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-03-12,631.3913,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-03-13,638.165,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-03-14,626.7067,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-03-15,633.6652,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-03-16,630.7167,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-03-17,621.2225,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-03-18,613.6315,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-03-19,608.8157,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-03-20,586.5898,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-03-21,570.7705,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-03-22,564.4215,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-03-23,561.3534,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-03-24,586.2718,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-03-25,582.2802,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-03-26,579.0722,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-03-27,478.1595,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-03-28,502.4399,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-03-29,493.1803,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-03-30,461.8695,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-03-31,458.4972,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-04-01,478.7163,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-04-02,437.515,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-04-03,447.0822,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-04-04,448.8792,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-04-05,464.8259,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-04-06,460.7028,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-04-07,446.2195,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-04-08,450.4638,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-04-09,440.1983,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-04-10,360.8407,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-04-11,420.0563,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-04-12,420.66,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-04-13,414.9495,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-04-14,457.6338,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-04-15,520.1233,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-04-16,529.1625,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-04-17,494.4,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-04-18,478.2312,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-04-19,501.5515,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-04-20,497.3177,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-04-21,493.0921,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-04-22,484.429,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-04-23,486.9317,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-04-24,500.2568,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-04-25,459.6104,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-04-26,456.1395,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-04-27,429.6537,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-04-28,437.0587,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-04-29,444.2533,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-04-30,445.8655,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-05-01,456.2673,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-05-02,446.6438,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-05-03,436.9381,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-05-04,434.0643,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-05-05,429.7242,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-05-06,426.992,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-05-07,436.9605,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-05-08,435.343,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-05-09,448.235,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-05-10,452.7108,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-05-11,436.542,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-05-12,438.4278,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-05-13,437.413,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-05-14,441.7498,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-05-15,444.3162,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-05-16,445.0133,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-05-17,446.3583,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-05-18,444.809,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-05-19,444.3128,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-05-20,485.8305,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-05-21,489.1625,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-05-22,526.0577,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-05-23,519.0392,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-05-24,525.6332,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-05-25,570.095,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-05-26,581.8267,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-05-27,569.6332,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-05-28,574.4547,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-05-29,565.5058,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-05-30,616.47,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-05-31,623.2567,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-06-01,629.0242,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-06-02,658.786,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-06-03,665.73,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-06-04,636.7837,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-06-05,656.0598,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-06-06,645.5647,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-06-07,652.7083,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-06-08,653.6402,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-06-09,645.341,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-06-10,649.8068,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-06-11,627.9098,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-06-12,581.8033,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
2014-06-13,597.4267,This data was produced from the CoinDesk Bitcoin Price Index. BPI value data returned as USD.,
